Project,Name,Revisions,Editors,Words,References
fr.wikipedia.org,"Cooking_Vinyl",20,14,192,4
fr.wikipedia.org,"L'Année_du_phénix",18,13,106,0
fr.wikipedia.org,"Maasser_sheni_(traité)",9,5,65,0
fr.wikipedia.org,"Amenemhat_IV",74,37,118,1
fr.wikipedia.org,"Di-Gata_les_défenseurs",107,84,114,0
fr.wikipedia.org,"Vianol",6,5,86,0
fr.wikipedia.org,"Daan",87,38,294,9
fr.wikipedia.org,"Équitation_aux_Jeux_panaméricains",17,11,53,1
fr.wikipedia.org,"Fiderd_Vis",13,8,91,0
fr.wikipedia.org,"Fédération_des_travailleurs_de_la_région_espagnole",14,8,99,0
fr.wikipedia.org,"Canton_de_Saint-Maur-des-Fossés-1",26,8,571,15
fr.wikipedia.org,"Clint_Eastwood_(reggae)",8,7,31,0
fr.wikipedia.org,"Suzanne_Françoise_L'Huillier",34,10,115,7
fr.wikipedia.org,"Fourmi_esclavagiste",11,10,245,6
fr.wikipedia.org,"Pěnčín_(district_de_Jablonec_nad_Nisou)",16,4,140,3
fr.wikipedia.org,"Lui_est_un_fameux_ténor",4,4,46,0
fr.wikipedia.org,"Allemands",183,104,504,8
fr.wikipedia.org,"Démographie_d'Erceville",12,8,1076,31
fr.wikipedia.org,"Michel_Maillard",91,47,132,0
fr.wikipedia.org,"Kamien_Lukawski",14,11,27,0
fr.wikipedia.org,"Châtenay-Malabry",886,336,2849,68
fr.wikipedia.org,"BMX_freestyle",26,10,943,20
fr.wikipedia.org,"British_Soap_Awards",22,10,36,4
fr.wikipedia.org,"Montseveroux",104,64,482,12
fr.wikipedia.org,"Raphaël_Pujol-Siwane",65,15,161,6
fr.wikipedia.org,"Sainte-Croix-en-Jarez",186,101,614,20
fr.wikipedia.org,"Liz_Carpenter",12,10,66,1
fr.wikipedia.org,"Tshikapa",99,64,362,2
fr.wikipedia.org,"AC/DC",3324,1425,7330,175
fr.wikipedia.org,"Sonate_d'église_n°_4_de_Mozart",9,5,131,0
fr.wikipedia.org,"La_fiera_(série_télévisée,_1983)",31,16,30,0
fr.wikipedia.org,"1763_en_France",28,17,14,23
fr.wikipedia.org,"Uspanteko",18,14,96,2
